,text,truth,tfidf_lr,tfidf_nb,freq_lr,freq_nb
16,"['[CLS]', 'congress', 'spent', '66', 'first', '100', 'days', 'term', 'recess', '.']",mostly-true,true,true,true,true
17,"['[CLS]', 'mark', 'sharpe', 'lowered', 'property', 'taxes', '17', 'percent', '.']",barely-true,false,false,true,false
18,"['[CLS]', 'says', 'iowa', 'gov', '.', 'terry', 'bran', '##stad', 'chartered', 'plane', 'remove', '124', 'young', 'illegal', 'immigrants', 'state', 'take', 'back', 'honduras', '.']",pants-fire,false,false,false,false
19,"['[CLS]', '##t', 'buy', 'cigarettes', 'local', 'supermarket', ',', 'grocery', 'bill', '##t', 'go', 'dime', '.', 'true', 'sugar', '##y', 'drink', 'tax', '.', 'passed', ',', 'avoid', 'paying', 'tax', 'buying', 'sugar', '##y', 'drinks', '.']",half-true,half-true,half-true,half-true,half-true
20,"['[CLS]', 'says', 'president', 'barack', 'obama', 'said', 'everybody', 'hate', 'police', '.']",pants-fire,false,false,false,false
21,"['[CLS]', 'georgia', '[UNK]', 'bank', 'failures', 'state', '.', '[UNK]']",true,true,half-true,true,half-true
22,"['[CLS]', 'bank', 'america', 'could', 'create', '87', '##8', ',', '300', 'jobs', 'benefits', 'spent', '2010', 'bonuses', 'job', 'creation', '.']",pants-fire,pants-fire,half-true,pants-fire,half-true
23,"['[CLS]', 'thom', 'till', '##is', 'cut', 'almost', '$', '500', 'million', 'education', '.']",half-true,half-true,half-true,half-true,half-true
24,"['[CLS]', 'people', 'work', 'make', 'money', ',', 'lose', 'benefits', 'would', 'earn', 'salary', '.']",barely-true,half-true,half-true,barely-true,half-true
25,"['[CLS]', 'poised', 'get', 'rid', '1', ',', '000', 'regulations', '2012', '.']",mostly-true,mostly-true,half-true,mostly-true,half-true
26,"['[CLS]', 'flight', 'atlanta', 'houston', 'canceled', 'due', 'terrorist', 'dry', 'run', '.']",pants-fire,false,false,pants-fire,false
27,"['[CLS]', 'administrative', 'employees', 'colleges', 'universities', '##ha', '##ve', 'doubled', 'last', '25', 'years', ',', '##pac', '##ing', 'growth', 'students', '2', '1', '.']",mostly-true,barely-true,mostly-true,barely-true,mostly-true
28,"['[CLS]', 'private', 'prison', 'systems', 'calculating', 'many', 'new', 'beds', '(', 'need', ')', 'based', '.', '.', '.', 'number', 'third', 'graders', '.']",pants-fire,mostly-true,mostly-true,true,mostly-true
29,"['[CLS]', 'amendment', '1', 'protects', 'florida', 'seniors', 'sc', '##ams', 'rip', '-', 'offs', '.']",false,false,false,false,false
30,"['[CLS]', 'barack', 'obama', 'would', 'apply', 'job', 'fbi', 'secret', 'service', ',', 'would', 'disqualified', 'past', 'associations', 'william', 'aye', '##rs', '.']",false,pants-fire,false,pants-fire,false
31,"['[CLS]', 'kids', 'take', 'sat', 'state', 'nation', '.', 'mean', 'high', 'percentage', 'kids', 'take', 'sat', '.']",barely-true,true,half-true,true,half-true
32,"['[CLS]', 'walker', 'says', '##s', 'lower', 'taxes', '.', 'milwaukee', 'county', 'spending', 'gone', '$', '34', '##9', 'million', '.']",barely-true,mostly-true,half-true,half-true,half-true
33,"['[CLS]', 'says', 'say', 'republicans', 'would', 'fi', '##lib', '##ust', '##er', 'immigration', 'reform', '.']",false,mostly-true,false,mostly-true,false
34,"['[CLS]', 'worldwide', 'credit', 'card', 'transactions', ',', 'credit', 'card', 'fraud', 'rate', '0', '.', '04', 'percent', ',', 'compared', 'almost', '8', 'percent', ',', '9', 'percent', ',', '10', 'percent', 'medicare', 'fraud', '.']",mostly-true,barely-true,mostly-true,barely-true,mostly-true
35,"['[CLS]', 'month', 'january', ',', 'canada', 'created', 'new', 'jobs', '.']",true,barely-true,half-true,barely-true,half-true
36,"['[CLS]', 'leadership', ',', 'people', 'wisconsin', 'access', 'health', 'care', '.']",half-true,barely-true,false,barely-true,false
37,"['[CLS]', 'charlie', 'cr', '##ist', 'attacks', 'positions', 'held', ',', 'like', ',', 'six', 'months', 'ago', ',', '(', ')', 'running', 'republican', 'primary', '.']",barely-true,true,true,true,true
38,"['[CLS]', 'says', 'donald', 'trump', '##s', 'economic', 'agenda', 'imposing', 'massive', 'taxes', 'american', 'people', '40', 'percent', 'tax', 'hike', 'giant', 'tariff', '.']",half-true,barely-true,barely-true,barely-true,barely-true
39,"['[CLS]', 'loan', 'guarantee', 'program', 'helped', 'sol', '##yn', '##dra', 'program', 'supported', 'president', 'bush', '.']",mostly-true,mostly-true,mostly-true,mostly-true,mostly-true
40,"['[CLS]', 'says', 'president', 'obama', 'granted', 'congress', 'exception', 'obama', '##care', '.']",false,barely-true,false,barely-true,false
41,"['[CLS]', 'bill', 'mcc', '##oll', '##um', '##has', '""', 'recovered', '$', '200', 'million', 'med', '##ica', '##id', 'fraud', '.', '""']",true,half-true,half-true,half-true,half-true
42,"['[CLS]', 'despite', 'u', '.', '.', 'spending', '$', '10', 'billion', 'iraq', '##s', 'electrical', 'system', ',', 'baghdad', 'still', 'gets', 'five', 'hours', 'electricity', 'day', '.']",barely-true,true,mostly-true,true,mostly-true
43,"['[CLS]', 'tim', 'kai', '##ne', 'urged', '$', '500', 'billion', 'medicare', 'cuts', '.']",false,barely-true,barely-true,barely-true,barely-true
44,"['[CLS]', '3', 'million', 'americans', 'employed', 'growing', 'green', '-', 'collar', 'workforce', ',', 'number', 'people', 'working', 'fossil', 'fuel', 'industry', '.']",true,half-true,half-true,half-true,half-true
45,"['[CLS]', 'steps', 'took', ',', '2', 'million', 'americans', 'working', 'right', 'would', 'otherwise', 'unemployed', '.']",half-true,half-true,half-true,half-true,half-true
46,"['[CLS]', 'says', '2009', ',', 'saved', 'rate', '##pa', '##yer', '##s', 'around', '$', '500', 'million', 'per', '##su', '##ading', 'council', 'pursue', 'less', 'expensive', 'compliance', 'mechanism', 'city', 'required', 'treat', 'bull', 'run', 'drinking', 'water', '.']",mostly-true,mostly-true,mostly-true,mostly-true,mostly-true
47,"['[CLS]', 'military', 'spent', '$', '500', 'million', 'enforcing', '##t', 'ask', ',', '##t', 'tell', 'policy', 'regarding', 'gay', '##s', 'lesbian', '##s', 'military', '.']",mostly-true,half-true,half-true,half-true,half-true
48,"['[CLS]', '.', '.', '.', 'keeping', 'creating', 'jobs', 'state', '.', 'american', 'greeting', '##s', ',', 'wendy', '##s', ',', 'die', '##bold', ',', '##ve', 'gone', 'doorstep', '##s', 'keep', 'jobs', 'right', 'ohio', '.']",true,true,true,true,true
49,"['[CLS]', 'obama', 'president', 'baldwin', 'senate', 'kept', 'campaign', 'offices', 'running', 'fox', 'valley', ',', 'ea', '##u', 'claire', 'la', 'cross', '##e', 'staff', '##s', 'preparing', 'next', 'battle', '.']",false,true,false,true,false
50,"['[CLS]', '2003', '2006', ',', 'sesame', 'street', 'made', '$', '211', 'million', 'toy', 'consumer', 'product', 'sales', '.']",true,barely-true,barely-true,barely-true,barely-true
51,"['[CLS]', '(', 'john', ')', 'ka', '##sic', '##h', 'architect', 'balanced', 'budget', ',', 'cut', 'spending', ',', 'created', 'surplus', ',', 'ign', '##iting', 'record', 'job', 'creation', '.']",half-true,half-true,half-true,half-true,half-true
52,"['[CLS]', 'federal', 'government', 'going', 'school', 'districts', ',', 'trying', 'force', 'let', 'boys', 'shower', 'little', 'girls', '.']",false,barely-true,half-true,barely-true,half-true
53,"['[CLS]', 'says', 'president', 'obama', 'said', '2008', 'proposed', 'greenhouse', 'gas', 'regulations', 'bankrupt', 'anyone', 'wants', 'build', 'new', 'coal', '-', 'fired', 'power', 'plant', '.']",mostly-true,false,false,false,false
54,"['[CLS]', '$', '5', 'trillion', 'debt', 'added', 'last', 'four', 'years', '.']",mostly-true,half-true,half-true,half-true,half-true
55,"['[CLS]', 'says', 'gov', '.', 'rick', 'perry', ',', 'texas', 'department', 'public', 'safety', 'troopers', 'standing', 'orders', '##qui', '##re', 'immigration', 'status', 'people', 'unless', '##re', 'arrest', '.']",half-true,half-true,half-true,half-true,half-true
56,"['[CLS]', '(', 'dennis', ')', 'richardson', 'wants', 'make', 'drastic', 'cuts', 'services', 'depend', ':', 'schools', ',', 'home', 'care', 'seniors', ',', 'even', 'public', 'safety', '-', '-', 'richardson', 'keep', '$', '440', 'million', 'un', '##sp', '##ent', 'funds', 'political', 'priorities', '.']",false,mostly-true,barely-true,mostly-true,barely-true
57,"['[CLS]', 'nobody', 'covered', 'remarks', 'patricia', 'smith', ',', 'mother', 'ben', '##gh', '##azi', 'victim', ',', 'live', ',', 'almost', 'everybody', 'covered', 'k', '##hi', '##z', '##rk', '##han', '##s', ',', 'mr', '.', 'khan', '##s', 'remarks', 'live', '.']",pants-fire,barely-true,barely-true,barely-true,barely-true
58,"['[CLS]', 'cost', 'food', 'stamp', 'program', '-', 'time', 'high', '.']",mostly-true,pants-fire,mostly-true,pants-fire,mostly-true
59,"['[CLS]', 'says', 'opponent', 'mary', 'burke', 'says', 'supports', 'obama', '##care', 'une', '##qui', '##vo', '##cal', '##ly', 'wants', 'expand', '.']",half-true,barely-true,barely-true,barely-true,barely-true
60,"['[CLS]', 'says', 'essex', 'county', 'residents', 'suffer', 'second', 'highest', 'property', 'taxes', 'nation', '.']",half-true,true,mostly-true,true,mostly-true
61,"['[CLS]', 'ken', 'lan', '##ci', 'lifelong', 'cleveland', '##er']",half-true,true,false,true,false
62,"['[CLS]', 'originally', ',', 'democrats', 'promised', 'liked', 'health', 'care', 'plan', ',', 'could', 'keep', '.', 'one', 'year', 'later', 'know', 'need', 'wai', '##ver', 'keep', 'plan', '.']",barely-true,barely-true,barely-true,barely-true,barely-true
63,"['[CLS]', 'says', 'carlos', 'lopez', '-', '##tera', 'even', 'voiced', 'enthusiastic', 'support', 'bringing', 'arizona', '-', 'style', 'immigration', 'law', 'florida', ',', 'calling', 'measure', 'common', 'sense', '.']",barely-true,mostly-true,mostly-true,mostly-true,mostly-true
64,"['[CLS]', 'says', 'democrats', 'controlled', 'congress', 'white', 'house', ',', 'federal', 'spending', 'share', 'gross', 'domestic', 'product', 'leapt', '18', '.', '2', 'percent', '2001', '25', '.', '2', 'percent', '2009', '-', '-', 'largest', 'increase', 'eight', '-', 'year', 'period', 'since', 'world', 'war', 'ii', '.']",barely-true,half-true,true,true,true
65,"['[CLS]', 'cb', '##os', 'latest', 'report', 'confirms', 'republicans', 'saying', 'years', '.', 'obama', '##care', ',', 'millions', 'hard', '##working', 'americans', 'lose', 'jobs', '.']",barely-true,barely-true,false,barely-true,false
66,"['[CLS]', 'u', '.', '.', 'supreme', 'court', 'five', 'guys', 'start', 'determining', 'contra', '##ception', '##s', 'legal', '.']",false,half-true,half-true,true,half-true
67,"['[CLS]', 'says', 'wisconsin', 'gov', '.', 'scott', 'walker', 'slashed', 'pensions', 'benefits', 'public', 'employees', '.']",half-true,false,false,false,false
68,"['[CLS]', 'adding', 'ethanol', 'gas', 'raises', 'food', 'costs', '.']",mostly-true,barely-true,mostly-true,half-true,mostly-true
69,"['[CLS]', 'says', 'mit', '##t', 'romney', 'supported', 'president', 'obama', '##s', 'health', 'care', 'plan', 'opposes', '.']",barely-true,barely-true,half-true,half-true,half-true
70,"['[CLS]', 'usaf', '##ree', '##dom', 'act', '##cut', '##s', 'privacy', '##the', 'phone', 'records', 'hands', 'phone', 'companies', 'hundreds', 'people', 'available', 'look', 'records', ',', 'versus', '20', '30', 'people', 'government', '.']",false,half-true,half-true,half-true,half-true
71,"['[CLS]', 'people', 'running', 'budget', ',', 'co', '##rz', '##ine', 'years', ',', 'decided', 'steal', 'unemployment', 'trust', 'fund', '.', 'governors', '.', 'simply', '##t', ',', '##t', 'done', ',', '##t', 'permit', '.']",barely-true,true,true,true,true
72,"['[CLS]', 'import', 'many', 'hem', '##p', 'products', 'country', 'want', '.', '.', '.', '##t', 'grow', '.']",true,mostly-true,mostly-true,mostly-true,mostly-true
73,"['[CLS]', 'says', 'gina', 'rai', '##mond', '##os', 'venture', 'capital', 'firm', 'secured', 'secret', '-', 'bid', 'contract', 'funded', 'taxpayers', '.']",barely-true,barely-true,barely-true,barely-true,barely-true
74,"['[CLS]', 'spend', 'money', 'ant', '##ac', '##ids', 'politics', '.']",false,false,false,false,false
75,"['[CLS]', 'mit', '##t', 'romney', 'proposed', 'cutting', 'taxes', 'raising', '18', 'million', 'working', 'families', '.']",mostly-true,half-true,half-true,half-true,half-true
76,"['[CLS]', 'social', 'security', 'po', '##nz', '##i', 'scheme', '.']",false,false,false,false,false
77,"['[CLS]', 'says', 'pennsylvania', 'charges', 'top', 'income', 'tax', 'rate', '3', 'percent', 'delaware', 'state', 'income', 'tax', '.']",half-true,true,half-true,true,half-true
78,"['[CLS]', 'jeff', 'greene', 'buy', 'anything', '.', '.', '.', 'owns', 'two', 'mansions', '.']",true,mostly-true,false,mostly-true,false
79,"['[CLS]', 'says', 'elizabeth', 'warren', 'lied', 'says', 'want', 'ab', '##olis', '##h', 'federal', 'minimum', 'wage', '.']",barely-true,false,false,false,false
80,"['[CLS]', 'obama', 'says', 'health', 'care', 'plan', '""', 'universal', '.', '""']",barely-true,barely-true,false,barely-true,false
81,"['[CLS]', 'brendan', 'doherty', 'wants', 'repeal', 'obama', '##care', ',', 'increasing', 'drug', 'prices', 'seniors', '.']",barely-true,false,false,false,false
82,"['[CLS]', 'abortion', 'coverage', 'standard', 'insurance', 'benefit', 'nearly', '90', 'percent', 'private', 'plans', 'sold', 'u', '.', '.']",barely-true,true,half-true,false,half-true
83,"['[CLS]', 'since', 'last', 'debated', 'las', 'vegas', ',', 'nearly', '3', ',', '000', 'people', 'killed', 'guns', '.']",half-true,mostly-true,mostly-true,mostly-true,mostly-true
84,"['[CLS]', 'toledo', 'fourth', 'nation', 'behind', 'much', 'bigger', 'cities', 'miami', ',', 'las', 'vegas', ',', 'portland', 'number', 'human', 'trafficking', 'arrests', 'rescues', '.']",barely-true,true,mostly-true,true,mostly-true
85,"['[CLS]', '94', 'percent', 'winning', 'candidates', '2010', 'money', 'opponents', '.']",mostly-true,false,false,mostly-true,false
86,"['[CLS]', 'barack', 'obama', 'joe', 'bid', '##en', 'oppose', 'new', 'drilling', 'home', 'oppose', 'nuclear', 'power', '.']",barely-true,barely-true,half-true,half-true,half-true
87,"['[CLS]', 'president', 'obama', 'went', 'around', 'world', 'apologized', 'america', '.']",pants-fire,pants-fire,half-true,pants-fire,half-true
88,"['[CLS]', 'says', 'federal', 'agency', 'charge', 'medicare', 'med', '##ica', '##id', 'di', '##sb', '##urse', '$', '80', '##3', 'billion', 'benefits', 'year', ',', 'making', 'larger', '15', 'worlds', 'economies', '.']",half-true,mostly-true,mostly-true,false,mostly-true
89,"['[CLS]', 'marco', 'rub', '##io', '""', 'supported', '$', '800', ',', '000', 'astro', '##tur', '##f', 'field', 'played', 'flag', 'football', '.', '""']",half-true,mostly-true,mostly-true,mostly-true,mostly-true
90,"['[CLS]', 'republican', 'leadership', 'house', 'refused', 'address', 'issues', 'matter', 'rhode', 'island', ',', 'passing', 'jobs', 'bill', '.']",pants-fire,mostly-true,mostly-true,half-true,mostly-true
91,"['[CLS]', 'dollar', 'fallen', '44', '%', 'since', 'bern', '##an', '##ke', 'began', 'pumping', 'money', 'system', 'beginning', 'back', '2002', '.']",half-true,true,true,true,true
92,"['[CLS]', 'congress', 'begin', 'recess', 'without', 'allocated', 'one', 'penny', 'fight', 'z', '##ika', '.']",mostly-true,half-true,half-true,half-true,half-true
93,"['[CLS]', 'candidate', 'either', 'side', 'laid', 'specific', 'plan', 'would', 'defeat', 'isis', '.']",false,barely-true,mostly-true,pants-fire,mostly-true
94,"['[CLS]', 'new', 'health', 'care', 'law', 'cut', '$', '500', 'billion', 'medicare', '.', 'hurt', 'quality', 'care', '.']",barely-true,barely-true,barely-true,barely-true,barely-true
95,"['[CLS]', 'president', 'obama', 'said', 'wants', 'everybody', 'america', 'go', 'college', '.']",false,false,false,false,false
96,"['[CLS]', 'law', ',', 'group', 'could', 'go', 'anywhere', ',', 'register', 'voters', ',', 'sit', 'voter', 'registration', 'forms', 'unlimited', 'amount', 'time', '.']",barely-true,half-true,false,half-true,false
97,"['[CLS]', 'results', 'atlanta', 'public', 'schools', '2010', '2011', 'cr', '##ct', 'tests', 'questioned', '.']",pants-fire,false,half-true,false,half-true
98,"['[CLS]', 'ed', 'gillespie', 'would', 'mention', '(', 'donald', 'trump', '##s', ')', 'name', 'unless', 'condemning', '.']",false,half-true,half-true,half-true,half-true
99,"['[CLS]', 'delay', 'ins', '##cho', '##ol', 'testing', '##was', 'vendor', ',', 'problem', 'test', 'materials', ',', 'product', 'cyber', 'attack', '.']",barely-true,barely-true,false,false,false
100,"['[CLS]', 'democrats', 'already', 'agreed', 'deal', 'republicans', 'wanted', ',', 'eric', 'cantor', 'said', 'would', 'win', '.']",mostly-true,half-true,false,half-true,false
101,"['[CLS]', 'one', 'main', 'functions', 'department', 'homeland', 'security', '##s', 'save', 'database', 'checking', 'voter', 'registration', 'citizenship', 'status', '.']",false,true,false,true,false
102,"['[CLS]', 'eight', 'nine', 'justices', 'supreme', 'court', 'decision', '(', 'campaign', 'finance', ')', 'said', 'constitutional', 'congress', 'require', 'disclosure', 'special', 'interest', 'money', ',', 'recommend', '.']",mostly-true,true,true,true,true
103,"['[CLS]', 'reality', ',', 'holding', 'dangerous', 'terrorists', 'world', 'right', 'federal', 'prisons', ',', 'including', 'master', '##mind', '1993', 'world', 'trade', 'center', 'bombing', ',', ""'"", 'shoe', 'bomber', ',', ""'"", ""'"", 'una', '##bo', '##mber', ',', ""'"", 'many', 'others', '.']",true,true,true,barely-true,true
104,"['[CLS]', 'barack', 'obama', 'first', 'president', 'terminate', 'americas', 'ability', 'put', 'man', 'space', '.']",pants-fire,false,false,false,false
105,"['[CLS]', 'says', 'george', 'washington', 'said', 'free', 'people', 'armed', 'guard', 'government', 'ty', '##ran', '##ny', '.']",false,false,false,false,false
106,"['[CLS]', 'new', 'little', 'known', ""'"", 'global', 'justice', ""'"", 'initiative', ',', 'obama', 'administration', 'ordered', 'fbi', 'agents', '""', 'read', 'miranda', 'rights', 'high', '-', 'value', 'terrorist', 'detainees', 'captured', 'battlefield', '.', '""']",half-true,false,barely-true,barely-true,barely-true
107,"['[CLS]', 'wholly', 'domestic', 'communication', 'wife', 'go', 'new', 'york', 'london', 'back', 'get', 'caught', '(', 'nsa', ')', 'database', '.']",mostly-true,true,true,true,true
108,"['[CLS]', 'says', 'every', 'dollar', 'state', 'spent', 'audit', '##s', 'last', 'year', ',', 'delivered', '$', '64', 'cost', 'savings', '.']",true,true,true,true,true
109,"['[CLS]', 'governor', ',', 'test', 'scores', 'improve', 'also', 'narrowed', 'achievement', 'gap', '.']",half-true,mostly-true,half-true,mostly-true,half-true
110,"['[CLS]', 'georgia', 'nearly', '50', 'percent', 'democratic', '(', 'republican', 'majority', ')', 'diminished', 'voting', 'strength', '32', 'percent', 'gerry', '##man', '##der', '##ed', 'maps', '.']",half-true,mostly-true,mostly-true,mostly-true,mostly-true
111,"['[CLS]', 'says', 'republican', '##t', '[', 'election', ']', 'presidency', 'new', 'jersey', 'since', '1988', '.']",true,half-true,false,false,false
112,"['[CLS]', '40', 'percent', 'illegal', 'immigrants', 'visa', 'became', 'illegal', ',', 'mostly', 'changed', 'jobs', '.']",half-true,mostly-true,mostly-true,barely-true,mostly-true
113,"['[CLS]', 'says', 'ted', 'cruz', 'sl', '##ur', '##red', 'republican', 'senators', 'including', 'john', 'corn', '##yn', 'gray', '##be', '##ards', 'spine', '##less', 'jelly', '##fish', '.']",half-true,pants-fire,false,pants-fire,false
114,"['[CLS]', 'says', 'mary', 'land', '##rie', '##u', 'voted', 'fund', 'benefits', 'illegal', 'immigrants', 'ahead', 'veterans', '.']",pants-fire,false,barely-true,false,barely-true
115,"['[CLS]', 'despite', 'budget', 'increased', '40', 'percent', 'since', '2009', 'pending', 'claims', 'benefits', '(', 'department', 'veterans', 'affairs', ')', 'increased', '39', '##1', ',', '000', '89', '##0', ',', '000', 'obama', 'administration', '.']",true,true,barely-true,true,barely-true
116,"['[CLS]', 'u', '.', '.', 'rep', '.', 'john', 'barrow', ',', '-', 'ga', '.', ',', 'want', 'audit', 'federal', 'reserve', '.']",false,barely-true,half-true,barely-true,half-true
117,"['[CLS]', 'unit', 'one', 'state', 'strive', '##s', 'implement', 'principles', 'mother', '-', 'friendly', 'care', 'outlined', 'national', 'coalition', 'improving', 'maternity', 'services', 'mother', '-', 'friendly', 'childbirth', 'initiative', '.']",false,barely-true,barely-true,barely-true,barely-true
118,"['[CLS]', 'going', 'ballot', '50', 'states', '.', 'third', '-', 'party', 'candidate', '##s', 'going', 'come', 'close', 'achieving', '.']",mostly-true,mostly-true,mostly-true,true,mostly-true
119,"['[CLS]', 'world', 'war', 'ii', ',', 'tried', ',', 'convicted', ',', ',', 'cases', ',', 'executed', 'japanese', 'soldiers', 'war', 'crimes', 'included', 'charges', 'water', '##boarding', '.']",true,true,true,half-true,true
120,"['[CLS]', 'says', 'gov', '.', 'scott', 'walker', 'approved', 'gut', '##ting', 'two', 'tax', 'credits', 'help', 'poor', 'elderly', '.']",false,barely-true,false,barely-true,false
121,"['[CLS]', 'ken', 'bucks', '(', 'district', 'attorneys', ')', 'office', '?', 'spending', 'sky', '##rock', '##ete', '##d', '40', 'percent', '.']",mostly-true,half-true,half-true,half-true,half-true
122,"['[CLS]', 'photon', '##ics', 'bill', 'sponsored', 'congress', 'written', ',', 'written', 'congressman', 'tom', 'reed', ',', 'congress', '##woman', 'louise', 'slaughter', '.']",false,half-true,false,half-true,false
123,"['[CLS]', 'mccain', '""', 'said', ""'"", 'stump', '##ed', ""'"", 'asked', 'whether', 'contra', '##ceptive', '##s', 'help', 'stop', 'spread', 'hiv', '.', '""']",true,true,false,true,false
124,"['[CLS]', 'says', 'texas', 'schools', 'spend', '45', '180', 'school', 'days', 'mandated', 'testing', '.']",false,mostly-true,half-true,false,half-true
125,"['[CLS]', 'tell', 'madeleine', 'al', '##bright', '##s', 'position', 'war', 'iraq', '.', '##t', 'surprised', 'supported', '.']",barely-true,half-true,half-true,true,half-true
126,"['[CLS]', 'prop', '##riety', 'budget', 'reconciliation', '.']",half-true,false,half-true,false,half-true
127,"['[CLS]', 'last', 'flag', 'flying', 'ben', '##gh', '##azi', '.']",false,barely-true,false,barely-true,false
128,"['[CLS]', 'says', 'legislation', 'pending', 'house', 'would', 'effectively', 'limit', 'eliminate', 'time', '-', '-', '-', 'half', 'people', 'work', 'overtime', '.']",mostly-true,mostly-true,mostly-true,mostly-true,mostly-true
129,"['[CLS]', 'american', 'people', 'support', 'anything', 'people', 'country', 'illegally', 'law', 'enforced', 'first', '.']",barely-true,half-true,mostly-true,half-true,mostly-true
130,"['[CLS]', 'cost', 'reno', '##vating', 'headquarters', 'u', '.', 'n', '.', 'doubled', 'original', 'estimate', '.']",true,false,half-true,false,half-true
131,"['[CLS]', 'mit', '##t', 'romney', 'proposing', 'tax', 'plan', 'would', 'give', 'millionaire', '##s', 'another', 'tax', 'break', 'raises', 'taxes', 'middle', 'class', 'families', '$', '2', ',', '000', 'year', '.']",mostly-true,barely-true,half-true,barely-true,half-true
132,"['[CLS]', 'three', 'people', 'tried', 'convicted', 'last', 'administration', 'military', 'courts', '.', 'two', 'walking', 'street', 'right', '.']",true,half-true,half-true,barely-true,half-true
133,"['[CLS]', 'medicare', 'insurance', 'premium', '##s', 'rising', '$', '120', '.', '20', 'per', 'month', '2013', '$', '247', '.', '00', 'per', 'month', '2014', '.']",pants-fire,pants-fire,false,pants-fire,false
134,"['[CLS]', 'ncaa', 'get', 'billions', 'men', '##s', 'basketball', 'tournament', '.', 'players', 'get', 'trophy', '.']",half-true,half-true,half-true,half-true,half-true
135,"['[CLS]', 'budget', 'currently', 'debated', 'significantly', 'decreases', 'use', 'one', '-', 'time', 'resources', '.']",true,barely-true,mostly-true,barely-true,mostly-true
136,"['[CLS]', 'damage', 'protesters', 'wisconsin', 'state', 'capitol', 'cost', '$', '7', '.', '5', 'million', 'repair', '.']",pants-fire,false,false,false,false
